First line indicates sampling freq [Hz], samples per channel, QTimer [ms] ,,,
Fx, Fy, Fz, Mz, My, Mz 
-0.124953425,0.099263741,0.002127637,-0.002465692,-0.014866037,-0.001840257
-0.256289198,0.021707657,-0.0034706,8.77E-05,-0.009030904,-0.000152235
-0.021543022,0.458638826,0.003432956,0.002679154,-0.010257337,-0.010478417
-0.00716831,0.158220719,-0.212232673,0.000928519,-0.006922546,-0.003573396
-0.395763193,0.081426791,0.205381733,0.003429819,0.003836406,-0.001856838
0.123197551,0.214831301,0.220048806,-0.001764695,0.001197045,-0.005080647
0.123197551,0.214831301,0.220048806,-0.001764695,0.001197045,-0.005080647
-0.257705975,0.006312735,-0.003576711,-1.56E-05,0.00139088,-0.000122849
-0.001343848,0.154586435,0.004364355,-0.002131898,-0.005112285,-0.003490951
-0.008065293,0.307256575,0.218921036,-0.001239876,-0.008501892,-0.006912962
-0.37776676,0.097020021,0.001700222,-0.005575124,-0.008220475,-0.001941661
-0.000858892,0.165059186,-0.208977266,-0.002061992,-0.012089647,-0.003581337
0.111136599,0.381608475,0.004666837,0.002257651,-0.010980185,-0.008675487
-0.251396557,0.013151203,-0.000321304,-0.003006117,-0.003776221,-0.00013079
-0.012545908,0.156304423,-0.002040348,0.00395244,-0.005199867,-0.003504455
0.111548626,0.222099868,-0.213145251,0.00435614,-0.002423477,-0.005245535
-0.263083572,0.004396439,0.206615615,0.003008315,0.003113559,-5.39E-05
-0.132679621,0.077030352,-0.001233881,0.000421504,0.000722848,-0.00180293
0.129506969,0.221669769,0.223304213,-0.004755206,-0.003970056,-0.005088588
-0.247847764,0.159181183,0.007192347,-0.008231841,-0.003633824,-0.003600296
-0.125438381,0.08879099,0.215469258,-0.002535598,-0.007888675,-0.001749871
-0.012957934,0.315813029,0.21577174,0.001853951,-0.013756574,-0.006934407
-0.144740572,0.243807525,-0.21661585,0.00444385,-0.011454382,-0.00539777
-0.261666795,0.019791361,0.206721726,0.00311163,-0.007308225,-8.33E-05
-0.145225528,0.233334774,-0.003274229,0.004373943,-0.00447702,-0.005307385
-0.007653266,0.147747968,0.001108948,0.000858613,5.48E-05,-0.00348301
-0.120133713,-0.079274071,0.000806466,-0.003530936,0.005922715,0.001701526
-0.129130828,0.223060333,0.00627977,-0.004804221,0.000865245,-0.005272436
-0.13495529,0.226694616,-0.210317259,-0.001743804,-0.000945016,-0.00535488
-0.251396557,0.013151203,-0.000321304,-0.003006117,-0.003776221,-0.00013079
-0.271595731,0.317203593,-0.001252703,0.001804936,-0.008921273,-0.007118256
-0.007580337,0.317729325,0.005579414,-0.00116997,-0.015479253,-0.007003348
-0.256289198,0.021707657,-0.0034706,8.77E-05,-0.009030904,-0.000152235
-0.131262844,0.092425274,-0.00112777,0.000524819,-0.009698936,-0.001832316
-0.001343848,0.154586435,0.004364355,-0.002131898,-0.005112285,-0.003490951
-0.138504083,0.080664635,-0.21783091,0.003481921,-0.001087413,-0.001885374
-0.132679621,0.077030352,-0.001233881,0.000421504,0.000722848,-0.00180293
-0.015306532,0.295495936,0.002217896,0.001717226,0.000109631,-0.00696602
-0.140332887,0.22477832,-0.000124933,0.001280117,0.000777663,-0.00528594
-0.252328378,0.008229031,-0.213769036,-0.003039526,-0.000331799,-0.000191789
-0.130474675,0.377646768,0.010644125,-0.006936119,-0.00424704,-0.008763387
-0.000412027,0.159508607,0.217812087,-0.002098489,-0.008556707,-0.003429952
-0.123609578,-0.055322695,-0.002236719,-0.000333794,-0.009753752,0.001650695
-0.137984289,0.245095413,0.21342891,0.001416841,-0.013088542,-0.005254327
0.126443132,0.086112538,0.00244894,0.000540425,-0.011089816,-0.001709467
-0.137572262,0.085586806,-0.004383177,0.00351533,-0.004531835,-0.001824375
-0.006721445,0.152670139,0.214556681,0.000892022,-0.003389606,-0.003422011
-0.140332887,0.22477832,-0.000124933,0.001280117,0.000777663,-0.00528594
-0.129130828,0.223060333,0.00627977,-0.004804221,0.000865245,-0.005272436
0.003548793,0.146029981,0.007513651,-0.005225725,0.000142398,-0.003469506
-0.008997114,0.302334404,0.005473303,-0.001273285,-0.00505747,-0.006973962
-0.123609578,-0.055322695,-0.002236719,-0.000333794,-0.009753752,0.001650695
-0.131262844,0.092425274,-0.00112777,0.000524819,-0.009698936,-0.001832316
-0.013889755,0.310890858,0.002324007,0.001820541,-0.010312153,-0.006995406
-0.123609578,-0.055322695,-0.002236719,-0.000333794,-0.009753752,0.001650695
-0.139401066,0.229700491,0.213322799,0.001313526,-0.002666759,-0.005224941
-0.014374711,0.300418108,0.215665629,0.001750635,-0.003334791,-0.006905021
0,0,0,0,0,0
-0.134508425,0.221144037,0.216472095,-0.0017803,0.002587924,-0.005203496
0.123682507,0.225304052,0.006707185,-0.001694789,-0.005780317,-0.005171032
-0.001343848,0.154586435,0.004364355,-0.002131898,-0.005112285,-0.003490951
-0.240194498,0.011433215,0.006083399,-0.009090454,-0.003688639,-0.000117286
-0.12771405,0.238455254,0.006385881,-0.004700906,-0.009556539,-0.005301822
-0.000412027,0.159508607,0.217812087,-0.002098489,-0.008556707,-0.003429952
-0.256289198,0.021707657,-0.0034706,8.77E-05,-0.009030904,-0.000152235
-0.013889755,0.310890858,0.002324007,0.001820541,-0.010312153,-0.006995406
-0.019267353,0.308974562,0.212516333,0.004844462,-0.008589474,-0.006926466
-0.135296593,-0.064077458,0.2047002,0.005680638,-0.002863972,0.001727576
-0.267188045,0.298174388,0.215238214,-0.001358797,0.003310772,-0.007006425
0.003548793,0.146029981,0.007513651,-0.005225725,0.000142398,-0.003469506
-0.23885065,-0.14315322,0.001719044,-0.006958556,0.001423646,0.003373665
-0.253225361,0.157264887,0.217384673,-0.005207921,-0.001911145,-0.003531356
-0.008065293,0.307256575,0.218921036,-0.001239876,-0.008501892,-0.006912962
-0.256289198,0.021707657,-0.0034706,8.77E-05,-0.009030904,-0.000152235
-0.131262844,0.092425274,-0.00112777,0.000524819,-0.009698936,-0.001832316
-0.021543022,0.458638826,0.003432956,0.002679154,-0.010257337,-0.010478417
-0.137572262,0.085586806,-0.004383177,0.00351533,-0.004531835,-0.001824375
-0.258152841,0.011863315,-0.430366065,2.09E-05,-0.00214206,-0.000274234
0.11602924,0.37305202,0.007816133,-0.000836176,-0.005725502,-0.008654042
-0.132679621,0.077030352,-0.001233881,0.000421504,0.000722848,-0.00180293
-0.502381087,-0.133206202,-0.218454695,-0.003913744,0.001004265,0.003168372
-0.008997114,0.302334404,0.005473303,-0.001273285,-0.00505747,-0.006973962
-0.000412027,0.159508607,0.217812087,-0.002098489,-0.008556707,-0.003429952
-0.509102532,0.019463938,-0.003898015,-0.003021722,-0.002385342,-0.000253639
-0.013889755,0.310890858,0.002324007,0.001820541,-0.010312153,-0.006995406
-0.013889755,0.310890858,0.002324007,0.001820541,-0.010312153,-0.006995406
-0.387624971,-0.055848427,-0.009068836,0.002641112,-0.003195771,0.001535787
-0.137572262,0.085586806,-0.004383177,0.00351533,-0.004531835,-0.001824375
0.237506802,0.297739656,0.002645311,0.004826658,-0.006535931,-0.006864616
-0.38273233,-0.064404881,-0.00591954,-0.000452715,0.002058912,0.001557232
-0.126855158,0.073396068,0.215363147,-0.002638913,0.002533109,-0.001720485
0.120921882,0.364495566,0.010965429,-0.003930002,-0.000470819,-0.008632597
